"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"KIF26A",1090,362
"ATG2B",3276,2278
"ARFGEF1",3634,4915
"ACSM2B",6,2
"ZFAT",567,632
"MTFR1",1032,1051
"STAG3",159,143
"FECH",1627,1777
"MYO9A",3980,2302
"DDX3Y",0,1
"PFKP",2791,2041
"IDI1",1281,2936
"SP100",4438,3178
"KLF6",25239,23097
"PLPP1",5065,1343
"NEO1",2096,7125
"TRAM1",11491,6790
"PHKA1",728,2330
"TNFRSF1A",10163,6873
"CACNB1",266,304
"EVI5",1970,917
"STOML1",941,738
"PKM",24452,52883
"DHX29",2338,2765
"DNTTIP2",2700,2754
"METTL22",610,863
"TP53BP1",2357,3784
"TRO",822,520
"RRP15",1173,1555
"RHOA",43672,27456
"DHX8",3193,3605
"PMS2P4",84,85
"PRKCZ",18,1056
"ZFY",0,0
"IARS2",7775,10484
"SYT1",64,2636
"NAV3",1037,217
"IDH3G",2034,2799
"ROGDI",102,1626
"PDZD4",254,398
"ATP2B3",2,4
"ROCK1",7292,3749
"CBFB",1712,2948
"PDK3",1845,3573
"HYAL2",2932,3317
"HDAC4",1850,1149
"RASSF1",2014,2472
"FGFR3",55,3408
"IFI35",1320,917
"HEATR6",940,1352
"COASY",1981,5002
"PLEKHH3",907,4873
"MEF2A",5268,2990
"OTUD5",3329,4266
"TFE3",9494,3809
"TBC1D25",1184,1258
"ACSL4",8593,1257
"INPP5A",1459,1008
"GPKOW",1279,1466
"GRIPAP1",2150,3759
"FTSJ1",1469,1883
"PRR11",188,188
"REEP1",158,1610
"ATP11A",4135,1117
"POLR1A",3345,3249
"LAPTM4A",22545,16659
"TTC7A",3828,2089
"IP6K2",2284,6277
"STON1-GTF2A1L",7,2
"SRBD1",1174,1120
"KIF2A",1802,1653
"RASGRP2",505,441
"PSME4",3730,6349
"IFT80",356,572
"SIRT2",3932,2285
"ERLEC1",3461,4133
"PPP2R5B",1306,1361
"PYGM",421,53
"PAGE1",0,0
"PITX1",8,1979
"TRPC7",0,0
"MAST4",7039,4304
"ADGRF5",12576,1241
"SDK2",34,643
"ADAM7",0,0
"NUP133",2787,4429
"NUCKS1",18835,22381
"VPS35",6800,6426
"DNAJA2",3995,2600
"BCL3",1148,3405
"KCNAB2",2472,781
"ABCC9",6744,185
"GAL",32,30
"CLEC2D",251,573
"FUNDC1",453,1124
"MAOB",10097,12590
"RORA",2132,1350
"DRD4",17,32
"TGFBR3",29317,2565
"PLA2G10",5,28
"HES2",5,545
"ATP1B3",4355,1658
"NEDD4",1521,1805
"PIGB",457,654
"MAPK6",2113,3565
"GNB5",616,1199
"RAB27A",855,1832
"HDHD5",947,1829
"UFD1",1556,1312
"LRP6",3368,2608
"GUCY2C",19,25
"SCT",1,2
"PHRF1",2369,4282
"ELP1",2697,3552
"NUCB2",2549,2195
"PFN2",1711,2771
"PTPN3",1099,2511
"SPTB",498,58
"DAPP1",323,662
"FGF10",1795,138
"SLC44A1",4734,7691
"TMEM260",761,875
"SMG6",1876,1726
"EXOC5",5005,2624
"CLTCL1",437,101
"FGF22",6,22
"FSTL3",3658,2110
"DGCR2",4416,7841
"RNF126",897,2381
"MNT",1082,2139
"ZXDC",1529,1766
"JMJD6",931,1073
"POLB",403,1755
"ST6GALNAC1",195,57
"WIPI1",1259,2710
"FRMPD1",274,31
"GBA2",2280,3627
"NDST1",11923,9636
"ASNS",22,100
"AP3M2",960,1331
"CNGB1",0,8
"ST6GALNAC2",137,1723
"CHAT",0,0
"PABPC1",36636,51642
"TESK2",202,571
"CFAP20",793,766
"CSNK2A2",1809,918
"PTPN21",3569,1197
"EIF2B3",2273,1013
"CAMK2A",46,33
"TCOF1",2174,2845
"CDC42",12647,12016
"OSBPL3",794,1064
"EPHA8",0,16
"SLC12A3",5,21
"RAD18",532,1278
"ATP2B1",3909,3065
"TRPM5",0,6
"NCK2",1763,2645
