"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"PHLPP2",6.0761,8.9663
"SPDL1",3.6368,6.1872
"STAU2",15.2443,19.1377
"SLC66A1",14.6809,35.9882
"CTNS",14.2348,16.4842
"RTN4R",1.8922,6.3958
"PHF23",31.8535,82.6591
"CDH10",0.0207,0.0244
"INPP4A",12.9425,11.2408
"RAB27B",1.3144,63.7544
"PSMA4",38.8269,57.5558
"MYO16",3.8535,0.1924
"LSG1",27.4361,41.1236
"PARP3",38.1233,57.3397
"TNC",48.2812,253.6285
"THAP3",12.6449,14.6861
"RIPOR3",7.5543,3.201
"TDP1",6.6413,16.7095
"AIFM2",126.3232,13.0364
"C2orf83",0.1305,0
"SPATA7",5.3299,4.6628
"MED17",0.9496,1.6766
"RETSAT",596.0206,104.5987
"CAPG",124.8616,328.7607
"AP2S1",107.275,188.1941
"USH2A",0.0257,0.1211
"ZPBP",0,0.068
"TG",0.3542,0.3287
"ADAM28",1.8311,3.64
"BARX2",0,44.866
"DCUN1D1",15.4641,16.0526
"JADE2",28.2538,28.4387
"ZIC2",0.0461,0.4069
"LCP2",21.1281,9.7066
"TRIT1",4.7243,18.5808
"ADRB1",12.1771,3.6419
"GUCA2B",0,0
"CUL7",20.7945,30.269
"CTNNA1",227.5914,255.4464
"PHKA2",18.0731,24.3844
"CNTLN",5.9287,1.9119
"EPHA3",8.7166,0.6378
"HSPA5",361.0013,426.9316
"DSG2",70.6608,116.9939
"GEMIN8",21.2105,49.3413
"OFD1",12.2627,74.3226
"GPM6B",3.6292,29.0195
"MAGEC2",0,0
"PREX2",21.7208,3.3107
"WDR37",15.4048,25.5544
"YTHDC2",14.1769,24.0467
"CTPS2",13.2854,48.5898
"ATP6V1H",31.676,52.7597
"POLR2B",58.1197,84.1047
"FAM214A",25.2903,95.3385
"ARAP2",3.5637,11.4129
"TPR",57.9027,64.6475
"CP",7.9457,10.6522
"KATNIP",8.8977,34.4472
"DTNBP1",21.3107,28.1599
"XK",0.4397,0.7418
"ANO2",5.1646,1.641
"C12orf4",14.1455,17.2649
"SCML1",9.8084,17.6012
"WWC3",36.5361,91.9995
"ARHGAP6",11.4605,2.198
"FAM184B",0.1915,2.2808
"MAP4",205.7059,86.4966
"GOPC",34.0492,37.1258
"ROS1",0.3156,0.01
"USP28",12.4907,25.533
"HDAC9",9.0177,1.0256
"TSPAN17",16.8532,47.9912
"NOP16",7.4647,19.3801
"CC2D2A",7.6302,4.5936
"RRM2B",32.0012,29.4871
"ZNF800",17.7112,25.1914
"TNFRSF17",0.4483,7.2108
"SNX29",33.3826,17.442
"LMO3",23.3668,0.2499
"MRPS10",66.2991,87.8535
"GUCA1A",0,0.0276
"RSF1",16.5444,20.0344
"VPS13D",29.9707,25.4084
"CELF2",87.078,12.7567
"FAM120A",102.9586,165.8247
"R3HDM1",16.6585,16.6465
"COL9A2",2.105,54.4219
"KITLG",27.3143,56.1429
"ERCC8",3.0692,2.7408
"ADAMTS6",3.1696,2.1988
"H6PD",86.9363,60.0339
"VAMP3",278.4125,136.2519
"PER3",29.391,17.3244
"UTS2",0.0423,0.896
"TNFRSF9",0.191,0.3512
"EPN3",0.2021,40.4953
"LTBP1",33.4888,28.4361
"RCN1",30.5059,27.7229
"ELN",201.2288,75.2213
"RFC2",26.3407,55.8305
"ARID1B",9.3546,11.9977
"CLPTM1L",54.8044,72.0291
"NEDD4L",5.551,12.4329
"FOXP3",0.5652,4.1938
"PPP1R3F",2.8926,6.6463
"HEXB",114.8145,67.1512
"PTCD2",4.3002,4.9141
"NEXMIF",0.59,1.389
"JKAMP",30.2806,36.6668
"DKK3",26.4062,22.5715
"ARHGEF5",4.9008,19.5603
"NFE2L3",6.6792,5.1442
"MCUR1",22.9112,27.4827
"LIMA1",224.0396,90.9234
"LETMD1",37.4259,45.6343
"SLC4A8",0.5374,6.1164
"LAMC3",0.5769,2.8258
"PTGER3",67.5444,19.4176
"TNIP3",0.0202,0.2619
"MAPK9",22.9826,33.4
"COL23A1",0.7154,4.1111
"BCAR1",16.9405,42.9543
"FAM160A2",28.6738,69.5767
"HERPUD1",81.2104,92.2537
"HOMER3",10.6812,20.8403
"RAD51",1.672,7.7853
"POLQ",0.388,1.6744
"PIK3CB",28.008,25.3847
"CYBA",70.797,41.2395
"THOC3",6.684,11.8784
"HEBP2",67.6425,34.3591
"MPHOSPH9",3.8049,7.3023
"PLEKHA5",12.6387,11.6208
"PRSS8",0.0255,392.2769
"SIKE1",24.6642,23.1848
"RRP12",9.469,29.3753
"FNIP2",33.7278,18.1585
"MSMO1",23.5846,106.3437
"TTC17",27.2757,36.7581
"ALX4",0.5296,3.8963
"FSTL4",0.0226,14.3507
"FOXN3",92.4279,13.8998
"METTL24",1.2824,1.2075
"AKR7A2",85.7105,134.7111
"MRTO4",38.3908,68.1643
"NNAT",56.0897,3.5595
"USE1",27.8873,34.9167
"MCF2L2",0.0332,0.1649
"NRIP2",10.6984,8.8812
"LAMA3",11.9914,51.8114
"AP5M1",11.5971,14.5001
"ANAPC4",13.1005,22.9855
"KCNQ1",15.7498,8.239
"TRAPPC3",52.8913,65.5692
"THRAP3",140.8842,211.5673
"PHPT1",53.4872,122.9763
"ENTPD2",1.3213,45.6761
"LY75",1.2057,4.6731
"ARID4B",19.1687,44.0598
"OPN3",2.5861,3.5233
"SDCCAG8",17.2871,29.8583
"PTPRN",0.0092,1.5079
"HHAT",2.8187,31.8206
"KIF1B",29.9232,16.7675
"FOXC1",18.5059,10.1962
"TBC1D22A",26.1668,27.0203
"SYNE2",30.851,20.3753
"PLEKHH1",0.9244,14.8705
"ATP9A",183.4328,65.7066
"SPO11",0,0
"CBLN4",0.1202,0.6509
"CHRDL2",0.1433,3.1757
"FAM168A",42.5842,37.1872
"RELT",2.2307,3.6499
"GALC",28.7411,25.9845
"NOP58",24.4127,74.3983
"SZRD1",74.0892,74.2546
"KCNH2",0.1829,1.2916
"CUL1",66.609,79.5609
"FAM114A2",16.9963,15.9684
"CYFIP2",3.554,9.463
"TAB2",85.3466,79.2936
"GINM1",115.9392,87.0743
"EIF2AK2",30.5642,23.6483
"USP36",25.9727,35.3738
"KMT2C",31.2047,34.443
"MCOLN3",5.0601,2.0077
"CCDC85A",8.2763,0.4556
"PUM2",83.0358,103.178
"MRPL43",29.8405,49.4369
"ITIH4",0.1628,0.4789
"ITIH1",0.0835,0.0197
"HPF1",45.5954,34.0203
"ZFR",80.0546,69.4434
"ZNF280C",2.8286,5.6964
"NPFFR2",0.0643,3.1026
"PHF21B",0.0505,1.4413
"TRAF1",7.1834,18.2062
"RC3H2",24.7768,16.4031
"IL17RB",2.5659,36.5938
"TRAF3IP2",19.2977,22.9973
"GYG2",492.3551,15.2088
"DCBLD2",23.8321,11.2203
"SERPINB3",0,0.8366
"SOAT1",25.9161,14.1943
"PKP2",1.2403,28.1727
"MSH4",0.371,0.5459
"F7",0.2994,13.5564
"GDI2",225.2711,245.853
"PRDM1",5.4262,9.8777
"ATG5",24.2047,26.8952
"TMCC3",21.1473,11.7053
"PITHD1",83.5447,76.5639
"MTA3",13.1237,26.3972
"USP13",22.1685,10.4634
"ATP11B",36.0053,15.5253
"LAMC2",3.4724,105.4989
"CDK14",15.0108,35.2216
"SEC61A1",199.1742,243.877
"PPP1R12A",26.2767,32.004
"RASGRF1",0.1976,0.5189
"CAMK2B",0.1394,31.8342
"CROCC",11.7572,21.3108
"POLR3E",12.5188,43.9318
"ATP2B4",247.0001,61.2713
"ZC3H11A",0.0236,0.0765
"RIOK2",16.5646,15.7243
"YIPF1",43.6892,105.1697
"NDC1",18.5243,27.7413
"DGKG",1.2783,0.1708
"FLYWCH1",17.1197,46.2225
"UNKL",9.5524,17.6273
"TBXAS1",21.295,9.6928
"PARP12",18.6622,25.5457
"ALDH18A1",51.3618,138.7162
"TARBP1",14.3052,61.2773
"GATB",6.194,6.6822
"MXD1",11.6059,18.4949
"CDK17",22.8423,32.2272
"DNAJC25",13.0755,15.5273
"SLC2A3",33.6005,23.7291
"PSD",0.2917,4.1501
"CTDP1",16.7403,32.5027
"YBX3",92.8794,88.5832
"STYK1",0.2425,8.3548
"WNK1",107.8767,82.4018
"RPS17P5",0.1859,0
"CCAR1",32.1402,62.6075
"OGFR",27.6751,42.7488
"GNA15",16.8302,13.8439
"CREB3L3",0.1146,0
"PIGV",11.5324,14.6987
"PTPRU",17.1366,32.4859
"SNRNP40",24.9718,35.2019
"RIMBP2",0.487,0.1387
